Book Number	Title
0	Advanced Accountancy vol 1
1	Cunningham's Manual of Practical Anatomy
2	Cunningham's Manual of Practical Anatomy
3	Cunningham's Manual of Practical Anatomy
4	Cunningham's Manual of Practical Anatomy
5	Cunningham's Manual of Practical Anatomy
6	Cunningham's Manual of Practical Anatomy
7	Cunningham's Manual of Practical Anatomy
8	Cunningham's Manual of Practical Anatomy
9	Cunningham's Manual of Practical Anatomy
10	Cunningham's manual of practical
11	HumanAnatomy and Physiology for Nuing
12	HumanAnatomy and Physiology for Nuing
13	HumanAnatomy and Physiology for Nuing
14	HumanAnatomy and Physiology for Nuing
15	HumanAnatomy and Physiology for Nuing
16	HumanAnatomy and Physiology for Nuing
17	Sear's Anatomy and Physiology for Nues- 6-ed
18	Sear's Anatomy and Physiology for Nues- 6-ed
19	Sear's Anatomy and Physiology for Nues- 6-ed
20	Sear's Anatomy and Physiology for Nues- 6-ed
21	Sear's Anatomy and Physiology for Nues- 6-ed
22	Cunningham's Manual of Practical Anatomy
23	Cunningham's Manual of Practical Anatomy
24	Cunningham's Manual of Practical Anatomy-vol-3
25	Cunningham's manual of practical....
26	Cunningham's Manual of Practical Anatomy vol-3
27	Anatomy and Physiology for Nues
28	Anatomy and Physiology for Nues
29	Anatomy and Physiology for Nues
30	anatomy & Physiology for allied health science
31	Sear's Anatomy and Physiology for Allied Health Sciencesues- 6-ed
32	Anatomy and Physiology for Nues
33	Anatomy and Physiology for Nues
34	Prctical Physiology
35	Practicial Physiology
36	Ross & Wilson Anatomy & Physiology in Health & illness-11 ed
37	Ross & Wilson Anaatomy & Physiology in Health & Illness
38	Anatomy and Physiology for Nues
38	Anatomy and Physiology for Nues
39	Anatomy and Physiology for Nues
40	Principles of Anatomy & Physiology
41	Principles of Anatomy & Physiology Maintence andcontinuity of the Human Body
42	Textbook of Anatomy& Physiology for Nues
43	A textbook of Practical Physiology
44	Handbook of Anatomy for Nues
44	Medical Surgical Nursing
45	A Brief Atlas of the Skeleton,Surface Anatomy,& selected Medical Images
46	Ophthalmology
47	OPhthalmplogy for Nues
48	OPhthalmplogy for Nues
49	Principles of Health care Management
50	Principles of Health care Management
51	Principles of Health care Management
52	Principles of Health care Management
53	Principles of Health care Management
54	The New Leadehip Challenge-Creating the futuref nuing
55	The New Leadehip Challenge
56	Creative Nuing Leadehip & Management
57	Creative Nuing Leadehip & Management
58	Creative Nuing Leadehip & Management
59	Creative Nuing Leadehip& Manage
60	Creative Nuing Leadehip & Management
61	Ward Procedures-5 th Ed
62	Financial Management for Hospital Administration
63	Nutrition Guide
64	Food & Nutrition for Nues
65	Food & Nutrition for Nues
66	Food & Nutrition for Nues
67	Nutrition for Nues/Question & Answe
68	Nutrition for Nues/Question & Answe
69	Nutrition for Nues/Question & Answe
70	Nutrition for Nues/Question & Answe
71	Nutrition for Nues/Question & Answe
72	A Textbook of Computer in Nuing
73	Computer for Nues Made Easy
74	Interactive System DESIGN
75	Essentials of Computer for Nues
76	Short Textbook of Computer Training for Nues
77	Short Textbook of Computer Training for Nues
78	Short textbook of Computer training for Nues
79	Compute for Nues
80	Short textbook of Computer training for Nues
81	Compute for Nues
82	Compute for Nues
83	Compute for Nues
84	AShort Textbook of Community Health Nuing
85	Achieving Quality In Community Health Care Nuing
86	Effective Leadehip & management in Nuing
87	Effective Leadehip & management in Nuing
88	Leadehip & management  in Nuing Practice & education  for nues-2 ed
89	Leadehip & management  in Nuing Practice & education
90	Effective Leadehip & management in Nuing
91	Effective Leadehip & management in Nuing
92	Effective Leadehip & management in Nuing
93	Effective Leadehip & management in Nuing
94	Nuing Delegation & Mnagement of Patient Care
95	Nuing Delegation & Mnagement of Patient Care
96	Nuing Delegation & Mnagement of Patient Care
97	Nuing Delegation & Mnagement of Patient Care
98	Nuing Delegation & Mnagement of Patient Care
99	Leadehip Roles & Management Functions in Nuing
100	Leadehip Roles & Management Functions in Nuing
101	Leadehip Roles & Management Functions in Nuing
102	Leadehip Roles & Management Functions in Nuing-Theory & applicationon
103	Leadehip Roles & Management Functions in Nuing-Theory & aplication
104	Nutrition & Biochemistry
105	Hand book of Nutrition & Dietetics
106	Hand book of Nutrition & Dietetics
107	Nuing & Nuing Education
108	Nuing & Nuing Education
109	Nuing & Nuing Education
110	Ward Management & Teaching
111	Clinixcal Teaching in Nuing
112	Clinixcal Teaching in Nuing
113	Clinical Teaching In Nuing
114	Textbook of Nuing Education
115	Textbook of Nuing Education
116	Textbook of Nuing Education
117	Nues as Educator
118	Nues as Educator
119	Nurse as educator
120	Nuing Education-Foundations for Practice Excellence
121	Nuing Education-Foundations for Practice Excellence
122	Nuing Education-Foundations for Practice Excellence
123	Teaching & learning in the school of nursing
124	Teaching & earning in the Schools of Nuing
125	Teaching in Nuing practice-2 nd Ed
126	Effective Teaching & Mentoring
127	Five Pepectives on Teaching in Adult & Higher Eduction
128	Nuing Education-2 ed
129	Nuing education
129	Nuing Education-2 ed
130	Anaesthesiology for Nues
131	Anaesthesiology for Nues
132	Anaesthesiology
133	Operating Room Technique & Anaesthesia for General Nuing Care
134	Operating Room Technique & Anaesthesia for Nuing Coue
135	International for Practice inCommunity  Nuing
136	Interaction for practice in computing nurses
137	Interaction for Practice In Community Nuing
138	Procedures In nuing Practice
139	Procedures In nuing Practice
140	Nuing Arts-Principle & Practice
141	Nuing Arts-Principle & Practice
142	Nuing Arts-Principle & Practice
143	Stephanie's Principles & practice Of Nuing
144	Stephanie's Principles & practice Of Nuing
145	Nuing: Practice & Pulic Health Administration-Current Concepts & Trends
146	Nuing Care of the Sick
147	Nuing Care of the Sick
148	Nuing Care of the Sick-A Guide for Nues Working in small Rural Hospitals
149	Advanced practice in Health Care
150	Student Nues' Guide to Professional Practoice & Developement
151	Primary nuing Practice
152	Nuing Solved Question Pape for Bsc Nuing 4 th Year(2009-1999)
153	Nuing Solved Question Pape for Bsc Nuing 4 th Year(2009-1999)
154	Application of Nuing Process nuing Diagnosis
155	Professional Responsibility
156	Professional Responsibility
157	Advanced Nuing Practice -Essential Knowledge for the Peon
158	Advanced Nuing Practice -Essential Knowledge for the Peon
159	Disaster Nuing A handbook ofr Practice
160	Freedom to Practise
161	Stephanie's Principles & practice Of Nuing-Nuing Arts Procedures
162	Stephanie's Principles & practice Of Nuing
163	Principles and Practice of Adult Health Nuing
164	Lippincott Manual of Nuing Practing -9 ed
165	Lippincott Manual of Nuing Practing -9 ed
166	Concepts & Issues In Nuing Practice
167	Clinical Nuing Procedures:The Art of Nuing Practice
168	Clinical Nuing Procedures:The Art of Nuing Practice
169	Skills for Professional Nuing Practice
170	The Cornell Illustrated Emergency Medicine & Fist Aid Guide
171	The Cornell illustrated Emergency Medicine & Fit Aid GuideHuman Anatomy and physilogy for Nuing and Allied Science
172	The Cornell Illustrated Emergency Medicine & Fist Aid Guide
173	The Cornell Illustrated Emergency Medicine & Fist Aid Guide
174	Fit Aid in Energencies
175	Fit Aid & Emergency Care
176	Fit Aid & Emergency Care
177	Fit Aid & Emergency Care
178	Fit Aid& Emergency Car1 Re ed -2011
179	Fit Aid & Emergency Care
180	Fit Aid Pocket Guide
181	Emergency  Medicine-  2ed
182	Emergency Medicine
183	Nuing Arts Question & Answe
184	Notes on Nuing
185	Fundamental Aspects of Childre;s & Young People's Nuing Procedures
186	Theoretical Nuresing Development & Progress
187	Serviving Nuing
188	Values Clarification In Nuring
189	Basics In Burns for Nues
190	Expanding Nuing Knowledge
191	Fundamentals of nuing vol-2
192	Fundamentals of nuing vol-2
193	Fundamentals of nuing vol-2
194	Fundamentals of nuing vol-2
195	Fundamentals of nuing vol-2
196	Fundamentals of nuing vol-2
197	Fundamentals of Nuing-vol-1
198	Fundamentals of nuing vol-2
199	Fundamentals of nuing vol-2
200	Fundamentals of Nuing-vol-1
201	Nuing Process
202	Nuing Process
203	Nuing Process
204	Nuing at Glance
205	Nuing At  a Glance
206	Nuing At  a Glance
207	Fundamentals of Nuing-Concepts,Process & Practice
208	Fundamentals of Nuing-2 ED
209	Nuing Theorists and their Work
210	Nuing Theorists and their Work
211	Nuing Theorists and their Work
212	Nuing Theorists and their Work
213	Nuing Theorists and their Work
214	Acupuncture-The Fourteen Channels
215	Fundamental Nuing Skills
216	Fundamental Nuing Skills
217	Fundamentals of Nuing Skills
218	Fundementals of Nuing Procedure Manual for ....
219	Fundamentals of Nuing Procedure manual for General Nuing Midwifery Coue(as per the revised sillabus)
220	Fundementals of Nuing Procedure Manual for ....
221	BNF-67(march-September)
222	Procedures & Theories of Community Health Nuing
223	Procedures & Theories of Community Health Nuing
224	Procedures & Theories of Community Health Nuing
225	Manipal Manual of Nuing Procedures (Fundamentals of Nuing)
226	Manipal Manual of Nuing Procedures (Fundamentals of Nuing)
227	Manipal Manual of Nuing Procedures (Fundamentals of Nuing)
228	Manipal Manual of Nuing Procedures
229	Manipal Manual of Nuing Procedures (Fundamentals of Nuing)
230	Manipal Manual of Nuing Procedures (Fundamentals of Nuing)
231	Manipal Manual of Nuing Procedures
232	Manipal Manual of Nuing Procedures (Fundamentals of Nuing)
233	Manipal Manual of Nuing Procedures (Fundamentals of Nuing)
234	Nuing Theories
235	Nuing Theories
236	Nuing Theories
237	Nuing Theories
238	Nuing Theories
239	Nuing Theories
240	Nuing Theories
241	Nuing Theories
242	Basic Concepts on Nuing Procedures
243	Basic Concepts on Nuing Procedures
244	Fundamentals of Nuing
245	A Guide to Curriculum Review for Basic Nuing Education
246	A Guide to Curriculum Review for Basic Nuing Education
247	A Guide to Curriculum Review for Basic Nuing Education
248	Quality Work Environments for Nue & Patient Safety
249	Fundations of Nuing
250	The Nue-patient encounter & the Patients' State
251	Research Methodology for Nues
252	Research Methodology for nues
253	Research Methodology for nues
254	Nuing Research
255	Care & Vulnerability
256	Nuing & Administration
257	Textbook of Nuing Research &Statistics
258	Textbook of Nuing Research &Statistics
259	Textbook of Nuing Research &Statistics
260	Critical Reasoning -2 ed
261	Introducing Research In Nuing
262	Critical Reasoning -2 ed
263	Introduction to Nuing Research-Developing Research Awarness
264	Introduction to Nuing Research-Developing Research Awarness
265	Introduction to Nuing Research
266	Introduction to Nuing Research
267	Research Ethics from a Developing World Pepective
268	Complementary Methods for research in Education
269	Learning Human Slills -4 ed
270	Essentials of Neurological & Neurosurgical Nuing         Essentials of Neurological & Neurosurgical Nuing
271	Neurological Development in Financy
272	Nuing Inaterventions for the Critically Ill
273	The Skilled Helper
274	The Smart Way-An Introduction to Writing for Nues
275	Current Controveies
276	Psychosocial Nuing for General Patient Care-3rd Ed
277	Essentials of Nuing care
278	Essentials of Nuing care
279	Nuing Care of Children
280	Essentials of critical care of Nuing made incredibly
281	Critical Care Nuing- 3 ed
282	Critical Care Nuing- 3 ed
283	Critical Care Nuing- 3 ed
284	Critical Care Nuing- 3 ed
285	Nuing Interventions for the Critically
286	Nuing Interventions for the Critically ill
287	Nuing Interventions for the Critically ill
288	Nuing Inventios for the Critically ill
289	Nuing  Interventios for thCritically Ill
290	respiratory Nuing Care
291	Resp[iratory Nuing Care
292	Introducing Palliative Care-  2003
293	Cocept Mapping-A Critical-Thinking Approach to care Planning
294	Essentials of critical care of Nuing
295	Essentials of critical care of Nuing
296	Essentials of Nuing care
297	Essentials of Critical Care Nuing      as Educator
298	Essentials of critical care of Nuing
299	Essentials of critical care of Nuing
300	Essentials of critical care of Nuing
301	Churchill Livingstone's Dictionary of Nuing
302	Churchill Livingstone's Dictionary of Nuing
303	Churchill Livingstone's Dictionary of Nuing
304	Bailliere's Nues Dictionary
305	Bailliere's Nues Dictionary
306	Bailliere's Nurses dictionary
307	Textbook  of Medical & Surgical Nuing
308	Textbook  of Medical & Surgical Nuing
309	Clinical Reproductive Medcine
310	Essentials of Community Health Nuing
311	Essentials of Community Health Nuing-6 th Ed
312	The Encyclopedia of New Medicine
313	Cultural Diveity in Health & illness
314	Cultural Diveity in Health & illness
315	Cultural Diveity in Health & illness
316	Cultural Diveity in Health & illness
